Fusobacterium
Parvimonas
Peptostreptococcus
Porphyromonas
Solobacterium
Lachnoclostridium
Hungatella
Anaerococcus
Gemella
Subdoligranulum
Leptotrichia
Eikenella
Flavonifractor
Campylobacter
Erysipelotrichaceae gen. [C Coprobacillus/Erysipelatoclostridium]
Anaerotruncus
Enterobacteriaceae gen. [C Escherichia/Shigella]
Alloprevotella
Selenomonas
Faecalicoccus
Intestinimonas
Firmicutes sensu stricto gen. incertae sedis
Ruminococcaceae gen. incertae sedis
Bacteroidales gen. [C Bacteroides/Porphyromonas/Parabacteroides]
Bilophila
Acidaminococcus
Anaeroglobus
Alistipes
Prevotella
Methanobrevibacter
Peptoniphilus
Bacteroides
Tyzzerella
Pseudoflavonifractor
Atopobium
Mogibacterium
Cryptobacterium
Synergistes
Dielma
Akkermansia
Granulicatella
Butyricicoccus
Desulfovibrio
